CHORD_ROOT;CHORD_TYPE;CHORD_STRUCTURE;FINGER_POSITIONS;NOTE_NAMES
A#;13;"1;3;5;b7;9;11;13";x,1,0,2,3,4;A#,C##,G#,B#,F##
A#;13;"1;3;5;b7;9;11;13";4,x,3,2,1,1;A#,G#,B#,C##,F##
A#;13;"1;3;5;b7;9;11;13";1,x,1,2,3,4;A#,G#,C##,F##,B#
A#;7(#9);"1;3;5;b7;#9";x,1,0,2,4,3;A#,C##,G#,B##,E#
A#;7(#9);"1;3;5;b7;#9";2,1,3,3,3,x;A#,C##,G#,B##,E#
A#;7(#9);"1;3;5;b7;#9";1,3,1,2,1,4;A#,E#,G#,C##,E#,B##
A#;9;"1;3;5;b7;9";x,2,0,3,4,x;A#,C##,G#,B#
A#;9;"1;3;5;b7;9";x,1,3,2,4,x;C##,G#,B#,E#
A#;9;"1;3;5;b7;9";1,x,1,2,1,4;A#,G#,C##,E#,B#
A#;9b5;"1;3;b5;b7;9";0,1,0,2,3,0;E,A#,C##,G#,B#,E
A#;9b5;"1;3;b5;b7;9";2,1,3,1,1,4;A#,C##,G#,B#,E,A#
A#;9b5;"1;3;b5;b7;9";x,x,1,2,3,1;A#,E,G#,B#
A#;7;"1;3;5;b7";x,1,3,1,4,1;A#,E#,G#,C##,E#
A#;7;"1;3;5;b7";1,3,1,2,4,1;A#,E#,G#,C##,G#,A#
A#;7;"1;3;5;b7";x,x,1,3,2,4;A#,E#,G#,C##
A#;dim7;"1;b3;b5;bb7";2,4,1,3,x,x;G,C#,E,A#
A#;dim7;"1;b3;b5;bb7";x,2,3,1,4,x;C#,G,A#,E
A#;dim7;"1;b3;b5;bb7";x,x,1,3,2,4;A#,E,G,C#
A#;dim7;"1;b3;b5;bb7";x,1,2,0,3,x;A#,E,G,C#
A#;dim7;"1;b3;b5;bb7";2,x,1,3,x,x;A#,G,C#
A#;dim7;"1;b3;b5;bb7";2,x,1,3,x,x;C#,A#,E
A#;dim7;"1;b3;b5;bb7";3,x,1,4,2,x;A#,G,C#,E
A#;dim7;"1;b3;b5;bb7";x,2,3,1,4,x;E,A#,C#,G
A#;aug;"1;3;#5";x,3,2,1,1,x;C##,E##,A#,C##
A#;aug;"1;3;#5";4,3,2,1,x,x;A#,C##,E##,A#
A#;aug;"1;3;#5";x,x,4,2,3,1;C##,E##,A#,C##
A#;maj;"1;3;5";x,1,3,3,3,x;A#,E#,A#,C##
A#;maj;"1;3;5";1,3,4,2,1,1;A#,E#,A#,C##,E#,A#
A#;maj;"1;3;5";x,4,3,1,2,1;A#,C##,E#,A#,C##
A#;11;"1;3;5;b7;9;11";x,1,1,1,1,1;A#,D#,G#,B#,E#
